Disease,Hindi Name,Marathi Name,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Herbal/Alternative Remedies,Ayurvedic Herbs,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Patient Recommendations,Scientific Research
Crohn's Disease,क्रोहन रोग,क्रोहन रोग,"Abdominal pain, diarrhea, fatigue","Colonoscopy, Biopsy, Blood Tests",Severe,Lifelong,"Genetic, Autoimmune diseases","Immunosuppressants, Steroids","Genetics, Diet, Immune System","Stress, Genetic factors",Irregular sleep,High stress,Low,Family history of Crohn's,"Low-fat, High-fiber diet",None,All seasons,Adults,Both genders,Requires ongoing treatment,Avoids stress,None specific,None specific,Turmeric (1 tsp daily),"Vata, Pitta",Vata-Pitta,"Eat small, frequent meals, avoid spicy and fatty foods.",None specific,"Medications, Surgery","Regular Monitoring, Healthy Diet",Can Be Managed with Medication,"Nutritional Deficiencies, Infections","Regular Monitoring, Stress Management",Research on Crohn's Disease Treatment
Cystitis,मूत्राशय शोथ,मूत्राशय शोथ,"Painful urination, frequent urge to urinate","Urine Test, Physical Exam",Mild to Moderate,1-2 weeks,"Urinary tract infections, Diabetes","Antibiotics, Pain relievers","UTI, Poor Hygiene, Sexual Activity","Bacterial infections, Sexual activity",Irregular sleep,Moderate stress,Low,Family history of UTIs,"Balanced, High-fluid diet",None,All seasons,"Adults, Children",Both genders,Requires antibiotics,Avoids irritants,None specific,None specific,Cranberry (200ml daily),Vata,Vata,"Drink plenty of water, avoid caffeine, and practice good hygiene.",None specific,Antibiotics,"Good Hygiene, Hydration",Can Be Managed with Medication,"Recurrent Infections, Kidney Damage","Regular Hygiene, Hydration",Research on Cystitis Treatment
Depression,अवसाद,डिप्रेशन,"Low mood, fatigue, loss of interest in activities","Psychological Evaluation, Blood Tests",Severe,Varies,"Family history, Stress","Antidepressants, Therapy","Genetics, Trauma, Stress","Stress, Genetic factors",Irregular sleep,High stress,Low,Family history of depression,"Low-sugar, Balanced diet",None,All seasons,Adults,Both genders,Requires therapy,Avoids stress-inducing situations,Herbal Remedies (St. John's Wort),"Ashwagandha, Brahmi",Ashwagandha (5g daily),"Vata, Pitta",Vata-Pitta,"Follow a healthy sleep routine, practice meditation, and consume omega-3s.",Cognitive Behavioral Therapy,"Therapy, Medications","Therapy, Medication Adherence",Can Be Managed with Treatment,"Suicide, Physical Health Problems","Regular Therapy, Medication Adherence",Research on Depression Treatment
Dementia,मतेमधोरी,मतेमधोरी,"Memory loss, confusion, difficulty concentrating","Neurological Exam, Brain Imaging",Severe,Lifelong,"Age, Genetic factors",Medications for cognitive decline,"Age, Genetics, Brain Injury","Aging, Genetic factors",Irregular sleep,High stress,Low,Family history of dementia,"Low-fat, High-antioxidant diet",None,All seasons,Adults,Both genders,Requires ongoing monitoring,Avoids stress,None specific,"Brahmi, Ashwagandha",Brahmi (2g daily),Vata,Vata,"Engage in cognitive exercises, eat brain-boosting foods like walnuts and fish.","Cognitive Therapy, Supportive Care","Medications, Therapy","Early Diagnosis, Cognitive Therapy",Can Be Managed with Treatment,"Memory Loss, Disability","Regular Therapy, Supportive Care",Research on Dementia Treatment
Diabetic Neuropathy,मधुमेह तंत्रिका विकार,मधुमेह तंत्रिका विकार,"Numbness, tingling, pain in limbs","Physical Exam, Blood Tests, Nerve Tests",Severe,Lifelong,"Diabetes, High blood sugar","Pain relievers, Antidepressants","Diabetes, Poor Blood Sugar Control","High blood sugar, Genetics",Irregular sleep,High stress,Low,Family history of diabetes,"Low-sugar, High-fiber diet",None,All seasons,Adults,Both genders,Requires pain management,Avoids sugar,"Alpha-Lipoic Acid, Vitamin B12",None specific,Fenugreek (3g daily),"Kapha, Vata",Kapha-Vata,"Maintain stable blood sugar levels, avoid refined sugars, and include bitter foods.",None specific,"Medications, Pain Management","Regular Monitoring, Glycemic Control",Can Be Managed with Medication,"Nerve Damage, Foot Ulcers",Regular Blood Sugar Control,Research on Diabetic Neuropathy Treatment
Diverticulitis,डिवर्टीकुलायटिस,डिवर्टीकुलायटिस,"Abdominal pain, bloating, constipation","CT Scan, Colonoscopy, Blood Tests",Moderate to Severe,1-2 weeks,"Age, Low-fiber diet","Antibiotics, Surgery","Aging, Low-Fiber Diet","Low-fiber diet, Aging",Irregular sleep,Moderate stress,Low,Family history of diverticulitis,"High-fiber, Low-fat diet",None,All seasons,Adults,Both genders,Requires dietary control,Avoids high-fat foods,None specific,None specific,Fennel (1 tsp in warm water),"Vata, Pitta",Vata-Pitta,"Increase fiber intake, avoid processed foods, and drink plenty of water.",None specific,"Antibiotics, Surgery","High-Fiber Diet, Regular Screening",Can Be Managed with Medication,"Perforation, Abscesses","High-Fiber Diet, Avoiding Straining",Research on Diverticulitis Treatment
Dyslipidemia,रक्तद्रव्य विकार,रक्तद्रव्य विकार,"Elevated cholesterol levels, fatigue, chest pain","Blood Tests (Cholesterol, Lipids)",Moderate to Severe,Lifelong,"Family history, High-fat diet","Statins, Fibrates","Genetics, Poor Diet, Lack of Exercise","High-fat diet, Lack of exercise",Irregular sleep,High stress,Low,Family history of heart disease,"Low-fat, High-fiber diet",None,All seasons,Adults,Both genders,Requires monitoring,Avoids high-fat foods,"Omega-3 Fatty Acids, Red Yeast Rice",None specific,Garlic (2-3 cloves daily),"Vata, Pitta",Vata-Pitta,"Consume a heart-healthy diet rich in omega-3s, exercise regularly, and avoid trans fats.",None specific,"Statins, Lifestyle Changes","Healthy Diet, Regular Exercise",Can Be Managed with Medication,"Heart Disease, Stroke","Healthy Diet, Regular Exercise",Research on Dyslipidemia Treatment
Ear Infections,कान के संक्रमण,कानाचा संसर्ग,"Ear pain, fluid drainage, hearing loss","Physical Exam, Ear Swab, Hearing Test",Mild to Moderate,1-2 weeks,"Upper respiratory infections, Allergies","Antibiotics, Pain relievers","Allergies, Sinus Infections","Allergens, Viral infections",Irregular sleep,Moderate stress,Low,Family history of ear infections,"Balanced, High-fluid diet","Dust, Pollen",All seasons,"Children, Adults",Both genders,Requires ear care routine,Avoids allergens,"Garlic, Warm Compress",None specific,Garlic (1-2 drops in ear),"Vata, Kapha",Vata-Kapha,"Avoid water in the ears, maintain good ear hygiene, and avoid cold air.",None specific,"Antibiotics, Pain Relief","Good Hygiene, Avoid Water Exposure",Can Be Managed with Medication,"Hearing Loss, Spread to Surrounding Tissues","Regular Hygiene, Treat Allergies",Research on Ear Infection Treatment
Epilepsy,मिर्गी,मिर्गी,"Seizures, confusion, muscle spasms","EEG, Blood Tests, Brain Imaging",Severe,Lifelong,"Family history, Head trauma",Anticonvulsants,"Genetics, Head Trauma, Infections","Head trauma, Stress",Irregular sleep,High stress,Low,Family history of seizures,"Low-sodium, Balanced diet",None,All seasons,All ages,Both genders,Requires medication,Avoids stress,None specific,None specific,Ashwagandha (5g daily),Vata,Vata,"Maintain a regular sleep schedule, avoid triggers, and consume magnesium-rich foods.",None specific,Anticonvulsant Medications,"Medication Adherence, Avoid Triggers",Can Be Managed with Medication,"Seizures, Brain Damage","Medication Adherence, Safety Measures",Research on Epilepsy Treatment
Erectile Dysfunction,स्तम्भन दोष,स्तम्भन दोष,Difficulty achieving or maintaining an erection,"Physical Exam, Blood Tests, Ultrasound",Moderate to Severe,Lifelong,"Diabetes, Hypertension","PDE5 inhibitors, Testosterone","Diabetes, Stress, Age","Stress, High blood pressure",Irregular sleep,High stress,Low,Family history of ED,"Low-fat, High-fiber diet",None,All seasons,Adults,Males,Requires medication,Avoids stress,"Ginseng, Yohimbine",None specific,Ashwagandha (5g daily),"Vata, Pitta",Vata-Pitta,"Avoid excessive alcohol, manage stress, and consume zinc-rich foods like pumpkin seeds.",None specific,"Medications, Therapy, Surgery","Healthy Lifestyle, Regular Checkups",Can Be Managed with Treatment,"Relationship Strain, Depression","Healthy Lifestyle, Therapy",Research on Erectile Dysfunction Treatment
Gallbladder Disease,पित्ताशय रोग,पित्ताशयाचे विकार,"Abdominal pain, nausea, vomiting, jaundice","Ultrasound, Blood Tests",Severe,Varies,"High-fat diet, Obesity","Surgery, Pain relievers","Obesity, High-Fat Diet","High-fat diet, Obesity",Irregular sleep,High stress,Low,Family history of gallstones,"Low-fat, High-fiber diet",None,All seasons,Adults,Both genders,Requires surgery,Avoids high-fat foods,None specific,None specific,Dandelion root (2g daily),Pitta,Pitta,"Avoid high-fat foods, consume bitter herbs, and practice stress management techniques.",None specific,"Surgery (Cholecystectomy), Medications","Healthy Diet, Weight Management",Can Be Managed with Treatment,"Gallstones, Infections","Healthy Diet, Regular Monitoring",Research on Gallbladder Disease Treatment
Gastroenteritis,जठरांत्र संक्रमण,जठरांत्रशोथ,"Diarrhea, vomiting, abdominal cramps","Stool Test, Blood Tests",Moderate to Severe,1-2 weeks,"Viral infections, Poor hygiene","Rehydration, Antidiarrheals","Contaminated Food/Water, Infections","Poor hygiene, Contaminated food",Irregular sleep,Moderate stress,Low,Family history of GI disorders,"Balanced, High-fluid diet",Contaminated food,All seasons,All ages,Both genders,Requires hydration,Avoids contaminated food,"Ginger, Peppermint",None specific,Ginger (2g in warm water),"Pitta, Kapha",Pitta-Kapha,"Stay hydrated, avoid dairy and greasy foods, and eat bland foods like rice and toast.",None specific,"Hydration, Antiemetics","Good Hygiene, Safe Food Handling",Can Be Managed with Treatment,"Dehydration, Electrolyte Imbalance","Hydration, Avoid Contaminated Food",Research on Gastroenteritis Treatment
Gingivitis,मसूड़ों की सूजन,मसूड्यांतील सूज,"Red, swollen gums, bleeding while brushing","Physical Exam, Blood Tests, X-rays",Mild to Moderate,1-2 weeks,"Poor oral hygiene, Smoking","Antiseptic mouthwash, Antibiotics","Poor Oral Hygiene, Smoking","Smoking, Poor oral hygiene",Irregular sleep,Moderate stress,Low,Family history of gum disease,"Balanced, Sugar-free diet",None,All seasons,Adults,Both genders,Requires oral care routine,Avoids tobacco,"Salt Water Rinse, Aloe Vera",None specific,Clove oil (2-3 drops),Pitta,Pitta,"Brush and floss regularly, use saltwater rinses, and avoid sugary foods.",None specific,"Dental Cleaning, Antibiotics","Regular Brushing, Avoid Smoking",Can Be Managed with Treatment,"Periodontitis, Tooth Loss","Regular Brushing, Dental Checkups",Research on Gingivitis Treatment
Glaucoma,मोतियाबिंद,डोळ्यांचा दाब वाढणे,"Blurred vision, eye pain, headache","Eye Exam, Tonometry, Visual Field Test",Severe,Lifelong,"Family history, High eye pressure","Eye drops, Surgery","Age, Family History, Eye Injury","High eye pressure, Age",Irregular sleep,High stress,Low,Family history of glaucoma,"Low-sugar, Balanced diet",None,All seasons,"Adults, Elderly",Both genders,Requires regular eye check-ups,Avoids eye strain,None specific,None specific,Triphala (1 tsp at bedtime),Pitta,Pitta,"Regular eye check-ups, avoid excessive screen time, and consume anti-inflammatory foods.",None specific,"Medications, Surgery","Regular Eye Exams, Protect Eyes",Can Be Managed with Treatment,"Vision Loss, Blindness","Regular Monitoring, Medication Adherence",Research on Glaucoma Treatment
Goiter,गुळगुळीत,गळ्यात गाठी होणे,"Swelling in the neck, difficulty swallowing","Physical Exam, Blood Tests, Ultrasound",Moderate to Severe,Lifelong,"Iodine deficiency, Autoimmune diseases","Thyroid medication, Surgery","Iodine Deficiency, Thyroid Disorders","Iodine deficiency, Autoimmune diseases",Irregular sleep,Moderate stress,Low,Family history of thyroid disorders,Iodine-rich diet,None,All seasons,"Adults, Elderly",Both genders,Requires thyroid monitoring,Avoids goitrogenic foods,"Iodine, Ashwagandha","Ashwagandha, Guggulu",Kelp (2-3g daily),"Vata, Pitta",Vata-Pitta,"Ensure adequate iodine intake, avoid stress, and include sea vegetables in the diet.",None specific,"Medications, Surgery","Iodine-Rich Diet, Regular Monitoring",Can Be Managed with Treatment,Breathing or Swallowing Difficulties,"Regular Monitoring, Healthy Diet",Research on Goiter Treatment
Gout,गाउट,गाउट,"Joint pain, swelling, redness, especially in the big toe","Blood Tests, Joint Fluid Test, X-ray",Severe,1-2 weeks,"High purine diet, Alcohol use","Pain relievers, Anti-inflammatory","High Purine Diet, Obesity","Alcohol, High purine diet",Irregular sleep,High stress,Low,Family history of gout,"Low-purine, Balanced diet",None,All seasons,Adults,Both genders,Requires pain management,Avoids alcohol,"Cherry Juice, Ginger, Turmeric",None specific,Cherry juice (200ml daily),"Pitta, Kapha",Pitta-Kapha,"Avoid alcohol and purine-rich foods, maintain a healthy weight, and drink plenty of water.",None specific,"Medications (Allopurinol, Colchicine)","Healthy Diet, Avoid Alcohol",Can Be Managed with Medication,"Joint Damage, Kidney Stones","Regular Medication, Avoid Triggers",Research on Gout Treatment
Graves' Disease,ग्रेव्स रोग,ग्रेव्स रोग,"Weight loss, rapid heartbeat, anxiety, bulging eyes","Blood Tests (TSH, T3, T4), Ultrasound",Moderate to Severe,Lifelong,"Autoimmune, Family history of thyroid disease","Antithyroid medication, Beta blockers","Autoimmune Disorder, Family History","Autoimmune, Stress",Irregular sleep,High stress,Low,Family history of thyroid disorders,"Low-sodium, Balanced diet",None,All seasons,Adults,Both genders,Requires thyroid monitoring,Avoids iodine-rich foods,None specific,None specific,Ashwagandha (5g daily),Pitta,Pitta,"Avoid stress, reduce stimulants like caffeine, and maintain a balanced diet rich in vitamins.",None specific,"Medications, Radioactive Iodine Therapy","Regular Monitoring, Stress Management",Can Be Managed with Treatment,"Heart Problems, Thyroid Storm","Regular Monitoring, Medication Adherence",Research on Graves' Disease Treatment
Hepatitis,हेपेटाइटिस,यकृत संक्रमण,"Jaundice, fatigue, abdominal pain, nausea","Blood Tests (Liver Function, Antigens)",Severe,Lifelong,"Viral infection, Alcohol abuse","Antivirals, Interferons","Alcohol Use, Viral Infections","Alcohol, Viral infection",Irregular sleep,High stress,Low,Family history of liver disease,"Low-fat, High-protein diet",None,All seasons,"Adults, Elderly",Both genders,Requires liver monitoring,Avoids alcohol,None specific,None specific,Milk thistle (200mg daily),Pitta,Pitta,"Avoid alcohol, follow a liver-supporting diet rich in leafy greens and antioxidants.",None specific,"Antiviral Medications, Lifestyle Changes","Avoid Alcohol, Safe Needle Use",Can Be Managed with Medication,"Cirrhosis, Liver Cancer","Regular Monitoring, Healthy Diet",Research on Hepatitis Treatment
Herpes Simplex Virus (HSV),हर्पीज वायरस,हर्पीज विषाणु,"Blisters, itching, pain, typically around the mouth or genital area","Blood Tests, PCR Test",Moderate to Severe,Lifelong,"Viral infection, Stress, Immune deficiency",Antiviral medication,"Stress, Weak Immune System","Stress, Immune deficiency",Irregular sleep,High stress,Low,Family history of HSV,"Low-sugar, Balanced diet",None,All seasons,All ages,Both genders,Requires medication for outbreaks,Avoids stress,"Aloe Vera, Lemon Balm",None specific,Aloe vera gel (topically),Pitta,Pitta,"Apply Aloe Vera gel, manage stress, and avoid acidic foods like citrus.",None specific,Antiviral Medications,"Avoid Direct Contact, Stress Management",Can Be Managed with Medication,"Recurrence, Spread to Others","Regular Hygiene, Stress Management",Research on Herpes Simplex Treatment
Hidradenitis Suppurativa,हाइड्राडेनाइटिस सुप्पुरेटिवा,पसीने की ग्रंथी सूजन,"Painful lumps under the skin, abscesses, drainage","Physical Exam, Biopsy",Moderate to Severe,Lifelong,"Family history, Obesity","Antibiotics, Immunosuppressants","Genetics, Obesity, Sweating","Obesity, Smoking",Irregular sleep,High stress,Low,Family history of HS,"Low-sugar, Balanced diet",None,All seasons,Adults,Both genders,Requires skin care routine,Avoids smoking,None specific,None specific,Turmeric (1 tsp in warm water),Pitta,Pitta,"Practice good hygiene, avoid tight clothing, and eat anti-inflammatory foods like turmeric.",None specific,"Medications (Antibiotics, Steroids)","Good Hygiene, Avoid Friction",Can Be Managed with Medication,"Scarring, Infection","Regular Hygiene, Avoid Friction",Research on Hidradenitis Suppurativa Treatment
Hodgkin's Lymphoma,होड्जकिन लिंफोमा,होड्जकिन रोग,"Swollen lymph nodes, fever, night sweats","Biopsy, Blood Tests, Imaging",Severe,Months to Years,"Family history, Previous cancer treatment","Chemotherapy, Radiation","Age, Family History, Viral Infections","Cancer treatment, Family history",Irregular sleep,High stress,Low,Family history of cancer,"Balanced, High-protein diet",None,All seasons,"Adults, Elderly",Both genders,Requires chemotherapy,Avoids infections,None specific,"Ashwagandha, Turmeric",Turmeric (1 tsp daily),Pitta,Pitta,"Follow cancer treatment, maintain a healthy immune system with a nutrient-rich diet.","Supportive Care, Physical Activity","Chemotherapy, Radiation Therapy","Early Detection, Regular Checkups",Can Be Managed with Treatment,"Infections, Secondary Cancer","Regular Monitoring, Supportive Care",Research on Hodgkin's Lymphoma Treatment
Hyperlipidemia,उच्च रक्तवसा,उच्च रक्तवसा,"Elevated cholesterol, fatigue, chest pain","Blood Tests (Cholesterol, Lipids)",Moderate to Severe,Lifelong,"High-fat diet, Obesity, Diabetes","Statins, Fibrates","Poor Diet, Genetics, Lack of Exercise","High-fat diet, Lack of exercise",Irregular sleep,High stress,Low,Family history of heart disease,"Low-fat, High-fiber diet",None,All seasons,Adults,Both genders,Requires monitoring,Avoids high-fat foods,"Omega-3 Fatty Acids, Red Yeast Rice",None specific,Garlic (2-3 cloves daily),Vata,Vata,"Consume healthy fats like omega-3s, avoid fried foods, and exercise regularly.",None specific,"Statins, Lifestyle Changes","Healthy Diet, Regular Exercise",Can Be Managed with Medication,"Heart Disease, Stroke","Healthy Diet, Regular Exercise",Research on Hyperlipidemia Treatment
Hypothyroidism,हाइपोथायरायडिज्म,थायरॉइड कमी,"Fatigue, weight gain, cold intolerance, depression","Blood Tests (TSH, T3, T4)",Moderate to Severe,Lifelong,"Autoimmune, Family history of thyroid disease",Thyroid hormone replacement,"Genetics, Autoimmune Conditions","Autoimmune, Iodine deficiency",Irregular sleep,High stress,Low,Family history of thyroid disorders,"Balanced, Iodine-rich diet",None,All seasons,"Adults, Elderly",Both genders,Requires thyroid monitoring,Avoids iodine deficiency,"Ashwagandha, Guggulu","Ashwagandha, Guggulu",Ashwagandha (5g daily),"Vata, Kapha",Vata-Kapha,"Consume iodine-rich foods like seaweed, avoid processed foods, and exercise regularly.",None specific,Thyroid Hormone Replacement,"Regular Monitoring, Healthy Diet",Can Be Managed with Medication,"Weight Gain, Heart Disease","Regular Monitoring, Medication Adherence",Research on Hypothyroidism Treatment
Irritable Bowel Syndrome (IBS),इरिटेबल बाउल सिंड्रोम,पाचन तंत्र विकार,"Abdominal pain, bloating, diarrhea or constipation","Physical Exam, Blood Tests, Stool Tests",Mild to Moderate,Lifelong,"Stress, Poor diet, Food intolerances","Fiber supplements, Antispasmodics","Stress, Diet, Family History","Stress, Poor diet",Irregular sleep,High stress,Moderate to Low,Family history of IBS,"Low-fat, High-fiber diet","Dairy, Gluten",All seasons,Adults,Both genders,Requires dietary management,Avoids trigger foods,"Peppermint, Ginger",None specific,Peppermint (2 drops in water),"Vata, Pitta",Vata-Pitta,"Follow a low FODMAP diet, avoid trigger foods, and manage stress with yoga.",None specific,"Medications (Laxatives, Antispasmodics)","Healthy Diet, Stress Management",Can Be Managed with Treatment,"Dehydration, Malnutrition","Regular Meals, Stress Management",Research on IBS Treatment
Kidney Stones,गुर्दे की पथरी,किडनी स्टोन,"Severe pain, blood in urine, nausea","Urine Tests, Blood Tests, Imaging",Severe,Varies (days to weeks),"Dehydration, High calcium intake","Pain relievers, Surgery","Dehydration, High-Salt Diet","Dehydration, High calcium intake",Irregular sleep,High stress,Low,Family history of kidney stones,"Low-sodium, High-fluid diet",None,All seasons,Adults,Both genders,Requires hydration,Avoids high-calcium foods,"Lemon Juice, Apple Cider Vinegar",None specific,Lemon juice (1 tbsp in water),"Vata, Kapha",Vata-Kapha,"Stay hydrated, avoid excessive calcium and oxalate-rich foods, and increase citrus intake.",None specific,"Surgery (Lithotripsy, Ureteroscopy), Medications","Increase Water Intake, Reduce Sodium",Can Be Managed with Treatment,"Obstruction, Kidney Damage","Regular Hydration, Dietary Changes",Research on Kidney Stones Treatment
Lupus,ल्यूपस रोग,ल्यूपस,"Fatigue, joint pain, skin rashes, photosensitivity","Blood Tests, Urine Tests, Biopsy",Severe,Lifelong,"Autoimmune, Family history","Immunosuppressants, Antimalarials","Genetics, Female Gender, Sun Exposure","Autoimmune, Sun exposure",Irregular sleep,High stress,Low,Family history of autoimmune diseases,"Low-sodium, Balanced diet","Sunlight, Certain foods",All seasons,"Adults, Elderly",Both genders,Requires immune monitoring,Avoids sunlight exposure,"Turmeric, Fish Oil","Ashwagandha, Turmeric",Turmeric (1 tsp daily),"Pitta, Vata",Pitta-Vata,"Avoid sun exposure, eat anti-inflammatory foods, and practice regular exercise.","Stress Management, Regular Exercise","Immunosuppressants, Anti-inflammatory Medications","Sun Protection, Stress Management",Can Be Managed with Medication,"Kidney Damage, Heart Disease","Regular Monitoring, Avoid Sun Exposure",Research on Lupus Treatment
Lymphadenopathy,लिम्फैडेनोपैथी,लिम्फैडेनोपैथी,"Swollen lymph nodes, fever, night sweats","Physical Exam, Biopsy, Blood Tests",Moderate to Severe,Varies (days to months),"Infections, Autoimmune diseases","Pain relievers, Antibiotics","Infections, Cancers, Autoimmune Diseases","Infections, Immune disorders",Irregular sleep,High stress,Low,Family history of lymphoma,"Low-sodium, Balanced diet",None,All seasons,All ages,Both genders,Requires monitoring,Avoids infections,None specific,None specific,Turmeric (1 tsp daily),Pitta,Pitta,"Consume anti-inflammatory foods like turmeric, avoid processed foods, and manage stress.",None specific,Dependent on underlying condition,"Early Diagnosis, Regular Monitoring",Depends on Cause,"Spread of Infection, Cancer","Regular Monitoring, Treatment of Underlying Condition",Research on Lymphadenopathy Treatment
Meniere's Disease,मेनियर रोग,मेनियर रोग,"Vertigo, hearing loss, tinnitus, fullness in the ear","Hearing Tests, Balance Tests, Imaging",Severe,Lifelong,Inner ear disorders,"Diuretics, Anti-nausea drugs","Stress, Genetics, Viral Infections","Stress, Viral infections",Irregular sleep,High stress,Low,Family history of ear disease,"Low-sodium, Balanced diet",None,All seasons,"Adults, Elderly",Both genders,Requires ear care,Avoids stress,"Ginkgo Biloba, Ginger",None specific,Brahmi (2g daily),Vata,Vata,"Avoid loud noises, reduce salt intake, and practice relaxation techniques like yoga.","Balance Exercises, Stress Management","Diuretics, Steroids, Surgery","Low-Salt Diet, Stress Management",Can Be Managed with Treatment,"Hearing Loss, Balance Issues","Avoid Triggers, Regular Monitoring",Research on Meniere's Disease Treatment
Menstrual Disorders,मासिक धर्म विकार,मासिक धर्म विकार,"Irregular periods, pain, heavy flow","Physical Exam, Blood Tests, Ultrasound",Mild to Moderate,Varies (days to months),"Hormonal imbalance, Stress","Pain relievers, Hormonal therapy","Hormonal Imbalances, Stress","Stress, Hormonal changes",Irregular sleep,High stress,Moderate,Family history of menstrual issues,"Balanced, Nutrient-rich diet",None,All seasons,Adults,Female,Requires medical management,Avoids high-sugar foods,"Ginger, Cinnamon",None specific,Ashoka bark (1 tsp in water),Pitta,Pitta,"Maintain a balanced diet, manage stress, and practice gentle exercise like walking.","Stress Management, Relaxation Techniques","Hormonal Therapy, Pain Relief","Regular Monitoring, Healthy Diet",Can Be Managed with Treatment,"Infertility, Anemia","Regular Monitoring, Healthy Lifestyle",Research on Menstrual Disorder Treatment
Multiple Myeloma,मल्टीपल मायलोमा,मल्टीपल मायलोमा,"Bone pain, weakness, fatigue, frequent infections","Blood Tests, Bone Marrow Biopsy, Imaging",Severe,Lifelong,"Cancer, Family history of cancer","Chemotherapy, Steroids","Age, Family History, Radiation Exposure","Cancer treatment, Autoimmune",Irregular sleep,High stress,Low,Family history of cancer,"Low-sodium, Balanced diet",None,All seasons,Adults,Both genders,Requires chemotherapy,Avoids infections,None specific,None specific,Turmeric (1 tsp daily),Pitta,Pitta,"Follow medical treatment, eat nutrient-rich foods to boost immunity, and manage stress.",None specific,"Chemotherapy, Stem Cell Transplant","Regular Monitoring, Early Detection",Can Be Managed with Treatment,"Bone Fractures, Kidney Failure","Regular Monitoring, Supportive Care",Research on Multiple Myeloma Treatment
Myocardial Infarction (Heart Attack),दिल का दौरा,हार्ट अटैक,"Chest pain, shortness of breath, nausea","Blood Tests, ECG, Imaging",Severe,Lifelong,"Heart disease, Hypertension","Antiplatelets, Statins","Smoking, Hypertension, Diabetes","High-fat diet, Smoking, Stress",Irregular sleep,High stress,Low,Family history of heart disease,"Low-fat, Low-sodium diet","Smoking, Alcohol",All seasons,"Adults, Elderly",Both genders,Requires heart monitoring,Avoids high-fat foods,"Hawthorn, Garlic","Garlic, Ashwagandha",Garlic (2-3 cloves daily),Vata,Vata,"Follow heart-healthy diet, avoid processed foods, and incorporate cardio exercises.","Cardiac Rehabilitation, Regular Exercise","Medications, Surgery (Angioplasty, Bypass)","Healthy Diet, Avoid Smoking",Can Be Managed with Treatment,"Heart Failure, Arrhythmias","Healthy Lifestyle, Stress Management",Research on Myocardial Infarction Treatment
Nasal Polyps,नासिका पॉलीप्स,नासिका पॉलीप्स,"Nasal congestion, loss of smell, sinus pressure","Physical Exam, Endoscopy, Imaging",Moderate to Severe,Lifelong,"Chronic sinusitis, Allergies","Nasal corticosteroids, Surgery","Chronic Sinus Infections, Allergies","Allergies, Sinus infections",Irregular sleep,Moderate stress,Moderate,Family history of sinus issues,"Low-sodium, Low-dairy diet","Allergies (dust, pollen)",All seasons,Adults,Both genders,Requires nasal care,Avoids allergens,None specific,None specific,Eucalyptus oil (2-3 drops in water),Vata,Vata,"Avoid allergens, use saline nasal sprays, and practice deep breathing exercises.",None specific,"Medications (Steroids, Surgery)","Avoid Allergens, Manage Sinus Infections",Can Be Managed with Medication,"Breathing Issues, Sinus Infections","Manage Allergies, Regular Monitoring",Research on Nasal Polyps Treatment
Osteoporosis,हड्डी दुर्बलता,ऑस्टियोपोरोसिस,"Back pain, height loss, fractures","Bone Density Test, Blood Tests",Moderate to Severe,Lifelong,"Age, Family history of bone disease","Calcium, Vitamin D, Bisphosphonates","Age, Gender, Family History, Smoking","Aging, Sedentary lifestyle",Irregular sleep,High stress,Low,Family history of osteoporosis,"High-calcium, Vitamin D-rich diet",None,All seasons,Elderly,Both genders,Requires bone density monitoring,Avoids caffeine and alcohol,"Calcium, Vitamin D","Ashwagandha, Guggulu",Ashwagandha (5g daily),Vata,Vata,"Include calcium-rich foods like dairy, engage in weight-bearing exercises, and avoid excessive alcohol.","Weight-Bearing Exercise, Balance Training",Medications (Bisphosphonates),"Healthy Diet, Weight-Bearing Exercise",Can Be Managed with Medication,"Bone Fractures, Spine Deformity","Healthy Diet, Weight-Bearing Exercise",Research on Osteoporosis Treatment
Pancreatitis,अग्न्याशय सूजन,अग्न्याशय विकार,"Upper abdominal pain, nausea, vomiting, fever","Blood Tests, Imaging, Biopsy",Severe,Varies (days to months),"Alcohol abuse, Gallstones","Pain relievers, Enzyme supplements","Alcohol, Gallstones, High-Fat Diet","Alcohol, Fatty diet",Irregular sleep,High stress,Low,Family history of liver or pancreatic diseases,"Low-fat, Balanced diet","Alcohol, Fatty foods",All seasons,Adults,Both genders,Requires pancreatic monitoring,Avoids alcohol,None specific,None specific,Turmeric (1 tsp daily),Pitta,Pitta,"Avoid alcohol and fatty foods, increase water intake, and follow a digestive-friendly diet.",None specific,"Hospitalization, Pain Management","Avoid Alcohol, Healthy Diet",Can Be Managed with Medication,"Organ Failure, Infection","Healthy Diet, Avoid Alcohol",Research on Pancreatitis Treatment
